FifaIndex,short_name,competition,club,games_played,goals,assists,minutes
4,L. Messi,LaLiga,FC Barcelona,7,1,0,75
4,L. Messi,Champions League,FC Barcelona,1,0,0,90
4,L. Messi,Copa del Rey,FC Barcelona,1,0,0,73
5,L. Messi,Champions League,FC Barcelona,6,1,2,322
5,L. Messi,LaLiga,FC Barcelona,17,6,2,912
5,L. Messi,Copa del Rey,FC Barcelona,2,1,1,180
6,L. Messi,LaLiga,FC Barcelona,26,14,2,"2,001"
6,L. Messi,Copa del Rey,FC Barcelona,2,2,1,166
6,L. Messi,Champions League,FC Barcelona,5,1,0,385
6,L. Messi,UEFA Super Cup,FC Barcelona,1,0,0,90
6,L. Messi,Supercopa,FC Barcelona,2,0,0,121
7,L. Messi,LaLiga,FC Barcelona,28,10,14,2003
7,L. Messi,Champions League,FC Barcelona,9,6,2,726
7,L. Messi,Copa del Rey,FC Barcelona,3,0,0,225
8,L. Messi,Champions League,FC Barcelona,12,9,5,927
8,L. Messi,Copa del Rey,FC Barcelona,8,6,1,450
8,L. Messi,LaLiga,FC Barcelona,31,23,13,"2,513"
9,L. Messi,LaLiga,FC Barcelona,35,34,11,"2,840"
9,L. Messi,Champions League,FC Barcelona,11,8,0,986
9,L. Messi,Copa del Rey,FC Barcelona,3,1,0,209
9,L. Messi,FIFA Club World Cup,FC Barcelona,2,2,0,157
9,L. Messi,UEFA Super Cup,FC Barcelona,1,0,1,120
9,L. Messi,Supercopa,FC Barcelona,1,2,0,90
10,L. Messi,Champions League,FC Barcelona,13,12,4,"1,048"
10,L. Messi,LaLiga,FC Barcelona,33,31,19,"2,861"
10,L. Messi,Copa del Rey,FC Barcelona,7,7,2,542
10,L. Messi,Supercopa,FC Barcelona,2,3,0,128
11,L. Messi,Copa del Rey,FC Barcelona,7,3,4,512
11,L. Messi,LaLiga,FC Barcelona,37,50,20,"3,269"
11,L. Messi,Champions League,FC Barcelona,11,14,6,990
11,L. Messi,FIFA Club World Cup,FC Barcelona,2,2,1,180
11,L. Messi,UEFA Super Cup,FC Barcelona,1,1,1,90
11,L. Messi,Supercopa,FC Barcelona,2,3,2,180
12,L. Messi,LaLiga,FC Barcelona,32,46,13,"2,626"
12,L. Messi,Champions League,FC Barcelona,11,8,3,821
12,L. Messi,Copa del Rey,FC Barcelona,5,4,1,443
12,L. Messi,Supercopa,FC Barcelona,2,2,0,180
13,L. Messi,LaLiga,FC Barcelona,31,28,13,"2,501"
13,L. Messi,Copa del Rey,FC Barcelona,6,5,3,476
13,L. Messi,Champions League,FC Barcelona,7,8,0,630
