short_name,club,team_trophy,individual_trophy,trophy,year
L. Messi,FC Barcelona,1,0,Spanish League,4
L. Messi,FC Barcelona,0,1,U20 World Cup 05 - 6 goals,4
L. Messi,FC Barcelona,1,0,Champions League ,5
L. Messi,FC Barcelona,1,0,Spanish League,5
L. Messi,FC Barcelona,1,0,Spanish Super Cup Winner,5
L. Messi,FC Barcelona,1,0,U20 World Champion,5
L. Messi,FC Barcelona,1,0,Copa America Runner Up,6
L. Messi,FC Barcelona,1,0,Spanish Super Cup Winner,6
L. Messi,FC Barcelona,0,1,Vice Top Scorrer: Champions Leauge,7
L. Messi,FC Barcelona,1,0,Champions League ,8
L. Messi,FC Barcelona,1,0,Spanish League,8
L. Messi,FC Barcelona,0,1,Copa del Rey - 6 goals,8
L. Messi,FC Barcelona,0,1,UEFA Champions League - 9 goals,8
L. Messi,FC Barcelona,0,1,Player of the Season: La Liga,8
L. Messi,FC Barcelona,0,1,Player of the Season: Champions League,8
L. Messi,FC Barcelona,0,1,Olympic Champion,8
L. Messi,FC Barcelona,1,0,Olympic Champion,8
L. Messi,FC Barcelona,1,0,Copa Del Rey,8
L. Messi,FC Barcelona,0,1,Ballon d'Or,9
L. Messi,FC Barcelona,0,1,UEFA European Footballer of the Year,9
L. Messi,FC Barcelona,0,1,Golden Shoe,9
L. Messi,FC Barcelona,1,0,Fifa Club World Cup,9
L. Messi,FC Barcelona,1,0,Spanish League,9
L. Messi,FC Barcelona,0,1,LaLiga - 34 goals,9
L. Messi,FC Barcelona,0,1,UEFA Champions League - 8 goals,9
L. Messi,FC Barcelona,0,1,Player of the Season: La Liga,9
L. Messi,FC Barcelona,1,0,Super Cup,9
L. Messi,FC Barcelona,1,0,Spanish Super Cup Winner,9
L. Messi,FC Barcelona,0,1,Ballon d'Or,10
L. Messi,FC Barcelona,1,0,Champions League ,10
L. Messi,FC Barcelona,1,0,Spanish League,10
L. Messi,FC Barcelona,0,1,FIFA Club World Cup,10
L. Messi,FC Barcelona,0,1,UEFA Champions League - 12 goals,10
L. Messi,FC Barcelona,0,1,Copa del Rey,10
L. Messi,FC Barcelona,0,1,Player of the Season: La Liga,10
L. Messi,FC Barcelona,0,1,Vice Top Scorrer: La Liga,10
L. Messi,FC Barcelona,0,1,Top Assists: La Liga,10
L. Messi,FC Barcelona,0,1,Top Scorer: Champions League 12 Goals,10
L. Messi,FC Barcelona,1,0,Spanish Super Cup Winner,10
L. Messi,FC Barcelona,0,1,Ballon d'Or,11
L. Messi,FC Barcelona,0,1,UEFA European Footballer of the Year,11
L. Messi,FC Barcelona,0,1,Golden Shoe,11
L. Messi,FC Barcelona,1,0,Fifa Club World Cup,11
L. Messi,FC Barcelona,0,1,UEFA Champions League - 14 goals,11
L. Messi,FC Barcelona,0,1,LaLiga - 50 goals,11
L. Messi,FC Barcelona,0,1,Player of the Season: La Liga,11
L. Messi,FC Barcelona,0,1,Top Assists: La Liga,11
L. Messi,FC Barcelona,0,1,Top Assists: Champions League,11
L. Messi,FC Barcelona,1,0,Super Cup,11
L. Messi,FC Barcelona,0,1,Top Scorer: La Liga,11
L. Messi,FC Barcelona,0,1,Top Scorer: Champions League,11
L. Messi,FC Barcelona,1,0,Copa Del Rey,11
L. Messi,FC Barcelona,1,0,Spanish Super Cup Winner,11
L. Messi,FC Barcelona,0,1,Ballon d'Or,12
L. Messi,FC Barcelona,0,1,Golden Shoe,12
L. Messi,FC Barcelona,1,0,Spanish League,12
L. Messi,FC Barcelona,0,1,LaLiga - 46 goals,12
L. Messi,FC Barcelona,0,1,Player of the Season: La Liga,12
L. Messi,FC Barcelona,0,1,Top Scorer: La Liga,12
L. Messi,FC Barcelona,0,1,Copa del Rey - 5 goals,13
L. Messi,FC Barcelona,0,1,Vice Top Scorer: La Liga 28 Goals,13
L. Messi,FC Barcelona,0,1,Player of the Tournament: World Championship,13
L. Messi,FC Barcelona,0,1,Record Scorer,13
L. Messi,FC Barcelona,1,0,Spanish Super Cup Winner,13
L. Messi,FC Barcelona,1,0,Champions League ,14
L. Messi,FC Barcelona,1,0,Spanish League,14
L. Messi,FC Barcelona,0,1,UEFA Champions League - 10 goals,14
L. Messi,FC Barcelona,0,1,Player of the Season: La Liga,14
L. Messi,FC Barcelona,0,1,Vice World Cup Champion,14
L. Messi,FC Barcelona,0,1,Vice Top Scorer: Champions League 43 Goals,14
L. Messi,FC Barcelona,0,1,Player of the Tournament: Copa America,14
L. Messi,FC Barcelona,0,1,Top Assists: La Liga,14
L. Messi,FC Barcelona,0,1,Top Assists: Copa America,14
L. Messi,FC Barcelona,0,1,Top Assists: Champions League,14
L. Messi,FC Barcelona,1,0,Copa America Runner Up,14
L. Messi,FC Barcelona,0,1,Top Scorer: La Liga,14
L. Messi,FC Barcelona,0,1,Top Scorer: Champions League,14
L. Messi,FC Barcelona,1,0,Copa Del Rey,14
L. Messi,FC Barcelona,0,1,Ballon d'Or,15
L. Messi,FC Barcelona,0,1,UEFA European Footballer of the Year,15
L. Messi,FC Barcelona,1,0,Fifa Club World Cup,15
L. Messi,FC Barcelona,1,0,Spanish League,15
L. Messi,FC Barcelona,0,1,Copa del Rey - 5 goals,15
L. Messi,FC Barcelona,1,0,Super Cup,15
L. Messi,FC Barcelona,1,0,Copa America Runner Up,15
L. Messi,FC Barcelona,1,0,Copa Del Rey,15
L. Messi,FC Barcelona,0,1,Golden Shoe,16
L. Messi,FC Barcelona,0,1,Copa del Rey,16
L. Messi,FC Barcelona,0,1,LaLiga - 37 goals,16
L. Messi,FC Barcelona,0,1,Player of the Season: La Liga,16
L. Messi,FC Barcelona,0,1,Vice Top Scorer: Champions League 11 Goals,16
L. Messi,FC Barcelona,1,0,Copa Del Rey,16
L. Messi,FC Barcelona,1,0,Spanish Super Cup Winner,16
L. Messi,FC Barcelona,0,1,Golden Shoe,17
L. Messi,FC Barcelona,1,0,Spanish League,17
L. Messi,FC Barcelona,0,1,LaLiga - 34 goals,17
L. Messi,FC Barcelona,0,1,Player of the Season: La Liga,17
L. Messi,FC Barcelona,1,0,Copa Del Rey,17
L. Messi,FC Barcelona,1,0,Spanish League,18
L. Messi,FC Barcelona,0,1,LaLiga - 36 goals,18
L. Messi,FC Barcelona,0,1,UEFA Champions League - 12 goals,18
L. Messi,FC Barcelona,0,1,Player of the Season: La Liga,18
L. Messi,FC Barcelona,0,1,Silver Shoe,18
L. Messi,FC Barcelona,0,1,TM Player of the season,18
L. Messi,FC Barcelona,1,0,Spanish Super Cup Winner,18
L. Messi,FC Barcelona,0,1,World Footballer,19
L. Messi,FC Barcelona,0,1,Ballon d'Or,19
L. Messi,FC Barcelona,0,1,LaLiga - 25 goals,19
L. Messi,FC Barcelona,0,1,TM Player of the season,19
L. Messi,FC Barcelona,0,1,Copa America 21 - 4 goals,20
L. Messi,FC Barcelona,0,1,LaLiga - 30 goals,20
L. Messi,FC Barcelona,1,0,Copa America,20
L. Messi,FC Barcelona,0,1,Player of the Tournament: Copa America,20
